method,target_sparsity,actual_sparsity,seed,memorized,grokked,memorization_step,grokking_step,grokking_gap,final_train_acc,final_val_acc,last_logged_step,live_confirmation_step,evals_from_live_confirmation,stopped_before_budget,weight_decay,n_grok_steps,summary_source,history_source
imp,0.7,0.7000009568279241,1,True,True,31975,34625,2650,0.9619472789115646,0.9379383634431456,40000,34650,215,False,1.0,40000,res/raw/exp_b_sp_70_80.zip!exp_b/imp/sp_0.70/seed_1/grok_phase/summary.json,res/raw/exp_b_sp_70_80.zip!exp_b/imp/sp_0.70/seed_1/grok_phase/history.json
imp,0.7,0.7000009568279241,2,True,False,10850,,,0.9357993197278912,0.8722635494155154,40000,,,False,1.0,40000,res/raw/exp_b_sp_70_80.zip!exp_b/imp/sp_0.70/seed_2/grok_phase/summary.json,res/raw/exp_b_sp_70_80.zip!exp_b/imp/sp_0.70/seed_2/grok_phase/history.json
imp,0.7,0.7000009568279241,3,True,True,36200,39375,3175,0.9392006802721088,0.9260361317747078,40000,39400,25,False,1.0,40000,res/raw/exp_b_sp_70_80.zip!exp_b/imp/sp_0.70/seed_3/grok_phase/summary.json,res/raw/exp_b_sp_70_80.zip!exp_b/imp/sp_0.70/seed_3/grok_phase/history.json
imp,0.7,0.7000009568279241,4,False,False,,,,0.8531037414965986,0.8153028692879914,40000,,,False,1.0,40000,res/raw/exp_b_sp_70_80.zip!exp_b/imp/sp_0.70/seed_4/grok_phase/summary.json,res/raw/exp_b_sp_70_80.zip!exp_b/imp/sp_0.70/seed_4/grok_phase/history.json
imp,0.8,0.8000038273116963,0,True,True,280,415,135,0.9264455782312925,0.900106269925611,10575,420,500,True,1.0,40000,res/raw/exp_b_sp_70_80.zip!exp_b/imp/sp_0.80/seed_0/grok_phase/summary.json,res/raw/exp_b_sp_70_80.zip!exp_b/imp/sp_0.80/seed_0/grok_phase/history.json
imp,0.8,0.8000038273116963,1,True,True,410,31725,31315,0.9606717687074829,0.9287991498405951,40000,31750,331,False,1.0,40000,res/raw/exp_b_sp_70_80.zip!exp_b/imp/sp_0.80/seed_1/grok_phase/summary.json,res/raw/exp_b_sp_70_80.zip!exp_b/imp/sp_0.80/seed_1/grok_phase/history.json
imp,0.8,0.8000038273116963,2,True,False,355,,,0.9744897959183674,0.9217853347502657,40000,,,False,1.0,40000,res/raw/exp_b_sp_70_80.zip!exp_b/imp/sp_0.80/seed_2/grok_phase/summary.json,res/raw/exp_b_sp_70_80.zip!exp_b/imp/sp_0.80/seed_2/grok_phase/history.json
imp,0.8,0.8000038273116963,3,True,True,295,350,55,0.9049744897959183,0.8822529224229543,10250,355,500,True,1.0,40000,res/raw/exp_b_sp_70_80.zip!exp_b/imp/sp_0.80/seed_3/grok_phase/summary.json,res/raw/exp_b_sp_70_80.zip!exp_b/imp/sp_0.80/seed_3/grok_phase/history.json
imp,0.8,0.8000038273116963,4,True,True,350,730,380,0.8784013605442177,0.8442082890541976,12150,735,500,True,1.0,40000,res/raw/exp_b_sp_70_80.zip!exp_b/imp/sp_0.80/seed_4/grok_phase/summary.json,res/raw/exp_b_sp_70_80.zip!exp_b/imp/sp_0.80/seed_4/grok_phase/history.json
imp,0.9,0.9000019136558481,0,True,True,13275,34925,21650,0.9846938775510204,0.9464399574920298,40000,34950,203,False,1.0,40000,res/raw/exp_b_sp_90_95.zip!exp_b/imp/sp_0.90/seed_0/grok_phase/summary.json,res/raw/exp_b_sp_90_95.zip!exp_b/imp/sp_0.90/seed_0/grok_phase/history.json
